"plays","loads","finishes","downloads","start_date","end_date","unique_viewers","unique_loads","mean_percent","mean_seconds","sum_seconds"
49,117,8,5,"2022-07-13","2022-07-14",6,8,34,190,9319
35,84,14,6,"2022-06-09","2022-06-10",7,15,66,387,13561
24,92,9,0,"2022-06-14","2022-06-15",6,11,63,414,9946
22,40,9,0,"2022-07-18","2022-07-19",5,9,51,303,6674
19,38,9,0,"2022-07-11","2022-07-12",6,9,77,491,9329
18,28,3,0,"2022-07-08","2022-07-09",6,7,71,406,7309
18,41,2,0,"2022-03-08","2022-03-09",7,19,14,438,7898
16,75,9,0,"2022-03-14","2022-03-15",3,13,30,315,5052
14,43,5,0,"2022-07-01","2022-07-02",3,6,58,464,6498
13,28,5,0,"2022-06-25","2022-06-26",3,4,59,258,3354
12,60,0,1,"2022-04-21","2022-04-22",4,12,17,123,1482
12,73,7,0,"2022-04-22","2022-04-23",2,10,66,296,3553
12,34,6,0,"2022-06-06","2022-06-07",4,8,82,376,4521
12,35,1,6,"2022-06-11","2022-06-12",5,9,55,280,3363
11,43,4,8,"2022-03-04","2022-03-05",3,5,30,483,5316
11,43,1,0,"2022-03-09","2022-03-10",7,15,12,459,5057
11,49,5,2,"2022-03-15","2022-03-16",2,8,53,278,3066
11,62,4,0,"2022-06-17","2022-06-18",2,9,33,306,3366
10,55,3,0,"2022-02-15","2022-02-16",3,8,68,312,3121
10,22,2,0,"2022-03-12","2022-03-13",2,2,57,396,3963
10,31,4,0,"2022-04-05","2022-04-06",3,3,48,260,2608
10,62,1,6,"2022-06-07","2022-06-08",3,16,9,82,824
10,47,2,7,"2022-05-31","2022-06-01",7,15,34,270,2700
9,45,0,0,"2022-06-30","2022-07-01",3,9,53,543,4892
9,34,1,0,"2022-07-14","2022-07-15",5,10,32,187,1687
9,44,2,0,"2022-04-28","2022-04-29",1,1,44,455,4101
9,105,2,0,"2022-05-18","2022-05-19",3,20,38,279,2511
9,40,2,0,"2022-05-24","2022-05-25",4,13,64,299,2692
9,51,5,0,"2022-06-13","2022-06-14",3,9,78,506,4555
8,20,2,0,"2022-06-24","2022-06-25",4,7,41,359,2875
8,18,2,0,"2022-06-26","2022-06-27",2,6,66,320,2561
8,16,4,0,"2022-04-13","2022-04-14",1,4,93,326,2608
8,29,1,0,"2022-06-15","2022-06-16",2,6,18,96,769
7,18,0,0,"2021-10-21","2021-10-22",5,7,28,932,6525
7,25,4,0,"2022-06-03","2022-06-04",3,6,77,424,2968
7,17,5,0,"2022-06-05","2022-06-06",1,2,66,677,4739
7,14,1,1,"2022-06-19","2022-06-20",2,2,94,657,4603
6,10,4,0,"2022-02-24","2022-02-25",2,3,78,501,3010
6,15,5,1,"2022-02-25","2022-02-26",2,3,94,472,2835
6,19,3,0,"2022-03-02","2022-03-03",1,3,75,375,2255
6,47,1,0,"2022-03-21","2022-03-22",2,4,29,162,976
6,7,5,0,"2022-04-09","2022-04-10",1,1,81,335,2010
6,25,2,0,"2022-04-14","2022-04-15",1,5,69,233,1400
6,56,5,0,"2022-07-06","2022-07-07",1,7,83,432,2593
6,10,3,0,"2022-05-15","2022-05-16",1,3,81,681,4091
5,27,2,0,"2022-06-22","2022-06-23",3,7,79,406,2032
5,21,0,1,"2022-02-16","2022-02-17",2,3,23,107,536
5,18,2,0,"2022-03-03","2022-03-04",3,4,48,1385,6925
5,17,4,0,"2022-03-13","2022-03-14",2,3,82,355,1777
5,9,2,0,"2022-04-01","2022-04-02",2,4,75,1052,5264
5,40,3,0,"2022-04-26","2022-04-27",1,9,86,699,3499
5,38,1,5,"2022-06-01","2022-06-02",5,11,40,251,1259
5,27,0,0,"2022-07-07","2022-07-08",2,8,43,332,1662
4,103,1,24,"2022-06-29","2022-06-30",1,8,40,177,709
