"status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1548739158520233990",2022-07-17 18:39:24,"_Mamaili","2/2 Access it here: https://t.co/Vd6CXAhWVk 

This course has been developed &amp; presented by @mediahackza  - experts in data-driven journalism.

#elearning #onlinecourse #datajournalism #data","Twitter for iPhone",143,,,,FALSE,"Retweet",0,4,,,,,"africadatahub.org/training-modul…","https://t.co/Vd6CXAhWVk","https://www.africadatahub.org/training-modules/an-introduction-to-using-data",,,,,,,,,"x1375010074838642690 x142231479","Africa_DataHub mediahackza","en",,,,,,,,,,,,,,,,"x1544252931372945408","2/2 Access it here: https://t.co/Vd6CXAhWVk 

This course has been developed &amp; presented by @mediahackza  - experts in data-driven journalism.

#elearning #onlinecourse #datajournalism #data",2022-07-05 09:32:44,"Twitter Web App",3,4,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_Mamaili/status/1548739158520233990","Mamaili Mamaila","Burgersfort, South Africa","• Sports Data Journalist | Researcher | Multiplatform Content Producer | OSF Fellow’21 | Archives: https://t.co/X5ctXah2Ek ✍🏽 x ⚽️ x 📊 | #VJOY2020 🥇 •","https://t.co/RbcOVWfXhK",FALSE,249,116,1,1152,58,2020-11-27 09:20:05,FALSE,"https://t.co/RbcOVWfXhK","https://bit.ly/3a8SAbR",,"https://pbs.twimg.com/profile_banners/1332252806674309120/1614111097",,"http://pbs.twimg.com/profile_images/1510961780050341889/-Hf4kRKe_normal.jpg"
"x1548739142699343873",2022-07-17 18:39:20,"_Mamaili","1/2 Do you need to refresh your knowledge or learn the fundamental skills of using data in journalism to increase the impact, diversity &amp; quality of your stories? 
The answer – our FREE ADH online course will help you with just that. https://t.co/MgoD9wnxCs","Twitter for iPhone",140,,,,FALSE,"Retweet",0,5,,,,,,,,,,,,,,,,"x1375010074838642690","Africa_DataHub","en",,,,,,,,,,,,,,,,"x1544252928302669826","1/2 Do you need to refresh your knowledge or learn the fundamental skills of using data in journalism to increase the impact, diversity &amp; quality of your stories? 
The answer – our FREE ADH online course will help you with just that. https://t.co/MgoD9wnxCs",2022-07-05 09:32:43,"Twitter Web App",9,5,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_Mamaili/status/1548739142699343873","Mamaili Mamaila","Burgersfort, South Africa","• Sports Data Journalist | Researcher | Multiplatform Content Producer | OSF Fellow’21 | Archives: https://t.co/X5ctXah2Ek ✍🏽 x ⚽️ x 📊 | #VJOY2020 🥇 •","https://t.co/RbcOVWfXhK",FALSE,249,116,1,1152,58,2020-11-27 09:20:05,FALSE,"https://t.co/RbcOVWfXhK","https://bit.ly/3a8SAbR",,"https://pbs.twimg.com/profile_banners/1332252806674309120/1614111097",,"http://pbs.twimg.com/profile_images/1510961780050341889/-Hf4kRKe_normal.jpg"
"x1548654292529201152",2022-07-17 13:02:10,"cristinGV","Check out Africa Data Hub! A reputable and up-to-date source for COVID-19 related data on the African continent. https://t.co/IZaymdkWPb","Twitter Web App",136,,,,FALSE,"Tweet",0,0,,,,,"africadatahub.org/training/solut…","https://t.co/IZaymdkWPb","https://www.africadatahub.org/training/solutions-journalism",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cristinGV/status/1548654292529201152","Sagina Cristin","Nairobi, Kenya","Data Info-Graphics & Communication. 
🧐Through the EYE of a Needle.","https://t.co/QzrKADEtf9",FALSE,150,948,1,496,978,2012-10-26 19:58:27,FALSE,"https://t.co/QzrKADEtf9","http://tekiel.pb.online",,"https://pbs.twimg.com/profile_banners/906677588/1539785759","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1208601882039607301/PJ5ji3Nr_normal.jpg"
"x1547887770504273925",2022-07-15 10:16:17,"_Sindelo","Need to refresh your knowledge or learn the fundamental skills of using data in journalism? The answer – our FREE ADH online course will help you with just that. Access here: https://t.co/XGm0DNiUTd

This course has been developed by @soljourno.

#solutionsjournalism #data https://t.co/19CWA4B7yl","TweetDeck",140,,,,FALSE,"Retweet",0,4,,,,,,,,,,,,,,,,"x1375010074838642690","Africa_DataHub","en",,,,,,,,,,,,,,,,"x1546736178015211520","Need to refresh your knowledge or learn the fundamental skills of using data in journalism? The answer – our FREE ADH online course will help you with just that. Access here: https://t.co/XGm0DNiUTd

This course has been developed by @soljourno.

#solutionsjournalism #data https://t.co/19CWA4B7yl",2022-07-12 06:00:16,"Hootsuite Inc.",6,4,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_Sindelo/status/1547887770504273925","Sarkastik Observer ☭💙","Cape Town | Gqeberha, ZA","30. Absurdist? HIV socio-behavioural research for @DTHF_SA at @UCTIDM. I tweet urban geography, comic books, film & CHELSEA FC. He/Him.
Header art by Juni Ba.","https://t.co/2U64lKakqv",FALSE,652,589,5,65495,42132,2021-02-10 12:54:25,FALSE,"https://t.co/2U64lKakqv","https://paypal.me/sindelo?country.x=ZA&locale.x=en_US",,"https://pbs.twimg.com/profile_banners/1359485550714122241/1649352940",,"http://pbs.twimg.com/profile_images/1542911640756183040/-_7evvQn_normal.jpg"
"x1547887060962316289",2022-07-15 10:13:28,"opencitieslabza","Need to refresh your knowledge or learn the fundamental skills of using data in journalism? The answer – our FREE ADH online course will help you with just that. Access here: https://t.co/XGm0DNiUTd

This course has been developed by @soljourno.

#solutionsjournalism #data https://t.co/19CWA4B7yl","Twitter for Android",140,,,,FALSE,"Retweet",0,4,,,,,,,,,,,,,,,,"x1375010074838642690","Africa_DataHub","en",,,,,,,,,,,,,,,,"x1546736178015211520","Need to refresh your knowledge or learn the fundamental skills of using data in journalism? The answer – our FREE ADH online course will help you with just that. Access here: https://t.co/XGm0DNiUTd

This course has been developed by @soljourno.

#solutionsjournalism #data https://t.co/19CWA4B7yl",2022-07-12 06:00:16,"Hootsuite Inc.",6,4,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/opencitieslabza/status/1547887060962316289","Open Cities Lab","Durban, South Africa","We combine the use of action research, co-design, data science, and technology with civic engagement to enable the development of inclusive cities.","https://t.co/lddTfWn944",FALSE,1787,325,87,2986,1032,2015-04-21 05:35:37,FALSE,"https://t.co/lddTfWn944","http://opencitieslab.org",,"https://pbs.twimg.com/profile_banners/3189465946/1575643116","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1410898459587137536/_trnJJvZ_normal.jpg"
"x1545333247537717249",2022-07-08 09:05:31,"opencitieslabza","We’d like to congratulate the 1st cohort of the ADH Community Journalism Fellowship. They were selected from over 100 journalists who applied for the fellowship program.

Please join us in congratulating them 👏👏. Read more here: https://t.co/30OqTCRkYD https://t.co/HF4Ss0UocE","Twitter for Android",140,,,,FALSE,"Retweet",0,6,,,,,,,,,,,,,,,,"x1375010074838642690","Africa_DataHub","en",,,,,,,,,,,,,,,,"x1544687265485668353","We’d like to congratulate the 1st cohort of the ADH Community Journalism Fellowship. They were selected from over 100 journalists who applied for the fellowship program.

Please join us in congratulating them 👏👏. Read more here: https://t.co/30OqTCRkYD https://t.co/HF4Ss0UocE",2022-07-06 14:18:37,"Twitter Web App",20,6,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/opencitieslabza/status/1545333247537717249","Open Cities Lab","Durban, South Africa","We combine the use of action research, co-design, data science, and technology with civic engagement to enable the development of inclusive cities.","https://t.co/lddTfWn944",FALSE,1787,325,87,2986,1032,2015-04-21 05:35:37,FALSE,"https://t.co/lddTfWn944","http://opencitieslab.org",,"https://pbs.twimg.com/profile_banners/3189465946/1575643116","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1410898459587137536/_trnJJvZ_normal.jpg"
"x1545333194144235521",2022-07-08 09:05:19,"opencitieslabza","ADH Data Journalism Fellow, Winny Kiprono, recently shared an article, discussing the alarming fact that 22% of 🇰🇪Kenyan children under 5 years are overweight.

Read her article here: https://t.co/6MGKKY1oAQ

#datajournalism #data #kenya #data","Twitter for Android",140,,,,FALSE,"Retweet",0,1,,,,,,,,,,,,,,,,"x1375010074838642690","Africa_DataHub","en",,,,,,,,,,,,,,,,"x1544599807154585601","ADH Data Journalism Fellow, Winny Kiprono, recently shared an article, discussing the alarming fact that 22% of 🇰🇪Kenyan children under 5 years are overweight.

Read her article here: https://t.co/6MGKKY1oAQ

#datajournalism #data #kenya #data",2022-07-06 08:31:05,"Hootsuite Inc.",2,1,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/opencitieslabza/status/1545333194144235521","Open Cities Lab","Durban, South Africa","We combine the use of action research, co-design, data science, and technology with civic engagement to enable the development of inclusive cities.","https://t.co/lddTfWn944",FALSE,1787,325,87,2986,1032,2015-04-21 05:35:37,FALSE,"https://t.co/lddTfWn944","http://opencitieslab.org",,"https://pbs.twimg.com/profile_banners/3189465946/1575643116","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1410898459587137536/_trnJJvZ_normal.jpg"
"x1547569962213969921",2022-07-14 13:13:26,"opencitieslabza","1/2 As the Africa Data Hub, we pride ourselves in being a reputable &amp; up-to-date source for #COVID19 &amp; health related data on the African continent. https://t.co/NUkIUS66ZY","Twitter Web App",148,,,,FALSE,"Retweet",0,1,,,"COVID19",,,,,,,,,,,,,"x1375010074838642690","Africa_DataHub","en",,,,,,,,,,,,,,,,"x1547475671261319171","1/2 As the Africa Data Hub, we pride ourselves in being a reputable &amp; up-to-date source for #COVID19 &amp; health related data on the African continent. https://t.co/NUkIUS66ZY",2022-07-14 06:58:45,"Twitter Web App",2,1,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/opencitieslabza/status/1547569962213969921","Open Cities Lab","Durban, South Africa","We combine the use of action research, co-design, data science, and technology with civic engagement to enable the development of inclusive cities.","https://t.co/lddTfWn944",FALSE,1787,325,87,2986,1032,2015-04-21 05:35:37,FALSE,"https://t.co/lddTfWn944","http://opencitieslab.org",,"https://pbs.twimg.com/profile_banners/3189465946/1575643116","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1410898459587137536/_trnJJvZ_normal.jpg"
"x1546434181055537153",2022-07-11 10:00:14,"opencitieslabza","Have you been seeing our posts about the @Africa_DataHub and wondering what its all about? Check out this feature on ADH work on @jamlabafrica to learn more!
https://t.co/7JAHt4mC7N
#DataJournalism #AfricanJournalism #OpenData https://t.co/3iZSBuUqNo","Twitter Web App",226,,,,TRUE,"Tweet",4,2,,,"DataJournalism AfricanJournalism OpenData",,"bit.ly/3OSRxfr twitter.com/jamlabafrica/s…","https://t.co/7JAHt4mC7N https://t.co/3iZSBuUqNo","https://bit.ly/3OSRxfr https://twitter.com/jamlabafrica/status/1545044972369371136",,,,,,,,,"x1375010074838642690 x864795004291751937","Africa_DataHub jamlabafrica","en","x1545044972369371136","How Africa Data Hub is promoting data journalism in Africa 🌍

@Africa_DataHub seeks to support and promote quality data-driven journalism and in turn, facilitate evidence-based decision-making about the pandemic across the continent.

Read more: https://t.co/C3VwWNTN9i https://t.co/r89xh3ca2t",2022-07-07 14:00:01,"TweetDeck",3,1,"x864795004291751937","jamlabafrica","JamlabAfrica",2761,541,12680,"South Africa","Strengthening innovation in African independent journalism and media to grow the diversity of voices. Sign up for our newsletter: https://t.co/SSxaWLUpBn",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/opencitieslabza/status/1546434181055537153","Open Cities Lab","Durban, South Africa","We combine the use of action research, co-design, data science, and technology with civic engagement to enable the development of inclusive cities.","https://t.co/lddTfWn944",FALSE,1787,325,87,2986,1032,2015-04-21 05:35:37,FALSE,"https://t.co/lddTfWn944","http://opencitieslab.org",,"https://pbs.twimg.com/profile_banners/3189465946/1575643116","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1410898459587137536/_trnJJvZ_normal.jpg"
"x1547865715624947712",2022-07-15 08:48:39,"geocarta","You’re invited to take part in our online user survey. This will allow us to get to know you a little bit more &amp; cater to your data needs. It's really short &amp; easy.

Follow this link: https://t.co/XlBxvJuU9I &amp; #share with your friends &amp; colleagues.

#usersurvey #survey #africa https://t.co/2CfE5NR6Zi","Abdou Diouck",143,,,,FALSE,"Retweet",0,1,,,,,,,,,,,,,,,,"x1375010074838642690","Africa_DataHub","en",,,,,,,,,,,,,,,,"x1547853817898606592","You’re invited to take part in our online user survey. This will allow us to get to know you a little bit more &amp; cater to your data needs. It's really short &amp; easy.

Follow this link: https://t.co/XlBxvJuU9I &amp; #share with your friends &amp; colleagues.

#usersurvey #survey #africa https://t.co/2CfE5NR6Zi",2022-07-15 08:01:22,"Hootsuite Inc.",2,1,"x1375010074838642690","Africa_DataHub","Africa Data Hub",377,217,759,"","The source for accurate and up to date health data 
on the African continent.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/geocarta/status/1547865715624947712","Africa & Géospatiale","","#climat,#environnement,#datascience, #urbanisme, #géomatique, #télédétection,#opensource, #geoafrica,","https://t.co/yglu32ybUV",FALSE,459,199,17,1913,300,2014-04-19 00:11:21,FALSE,"https://t.co/yglu32ybUV","https://geoafrica.fr",,"https://pbs.twimg.com/profile_banners/2493409233/1656417853","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1528056572156469255/TucCtion_normal.jpg"
