"plays","loads","downloads","finishes","domain","path","unique_viewers","mean_percent","sum_seconds","mean_seconds","unique_loads"
1900,5209,135,572,"vimeo.com","/",358,51,707677,372,637
98,1365,0,11,"africadatahub.org","/",43,30,38590,393,196
35,92,0,10,"africadatahub.webflow.io","/",10,34,6327,180,17
8,8,0,0,"linktr.ee","/",3,11,3983,497,3
8,1353,14,0,"UNKNOWN","/",3,1,143,17,65
6,77,0,0,"webflow.com","/",2,1,29,4,3
1,3,0,0,"google.com","/",1,0,0,0,2
0,9,0,0,"aula.marketingandweb.es","/",0,0,0,0,0
0,5,0,0,"mindshare.com","/",0,0,0,0,0
0,43,0,0,"up-fc.jp","/",0,0,0,0,0
0,3,0,0,"members.tradeproacademy.com","/",0,0,0,0,0
0,10,0,0,"raywenderlich.com","/",0,0,0,0,0
0,51,0,0,"friendlondon.tv","/",0,0,0,0,0
0,5,0,0,"gerchik.ru","/",0,0,0,0,0
0,2,0,0,"melissad.co.uk","/",0,0,0,0,0
0,10,0,0,"supplyanddemand.tv","/",0,0,0,0,0
0,5,0,0,"madazmoney.com","/",0,0,0,0,0
0,16,0,0,"joacademy.com","/",0,0,0,0,1
0,3,0,0,"mitocode.com","/",0,0,0,0,0
0,8,0,0,"members.urm.academy","/",0,0,0,0,0
0,2,0,0,"measuresummit.com","/",0,0,0,0,0
0,32,0,0,"moneyedu.org.tw","/",0,0,0,0,1
0,6,0,0,"kaspersky-xtraining.com","/",0,0,0,0,0
0,8853,0,0,"cdn.embedly.com","/",0,0,0,0,333
0,29,0,0,"fantrie.com","/",0,0,0,0,0
0,1,0,0,"geo00.tdr-lab.com","/",0,0,0,0,0
0,2,0,0,"immocation.de","/",0,0,0,0,0
0,46,0,0,"patreon.com","/",0,0,0,0,0
0,31,0,0,"quizium.ru","/",0,0,0,0,0
0,5,0,0,"github.com","/",0,0,0,0,0
0,5,0,0,"aidentech.com","/",0,0,0,0,0
0,41,0,0,"edu.gerchik.ru","/",0,0,0,0,0
NA,NA,NA,NA,"","",NA,NA,NA,NA,NA
