,created_at,Retweet,Tweet
1,2022-05-30,4,3
2,2022-05-31,22,2
3,2022-06-01,7,3
4,2022-06-02,NA,2
5,2022-06-03,4,1
6,2022-06-04,3,3
7,2022-06-05,1,NA
8,2022-06-06,10,2
9,2022-06-07,10,5
10,2022-06-08,7,3
11,2022-06-09,7,2
12,2022-06-10,10,2
13,2022-06-11,2,NA
14,2022-06-12,4,4
15,2022-06-13,12,4
16,2022-06-14,6,2
17,2022-06-15,7,3
18,2022-06-16,1,2
19,2022-06-17,3,1
20,2022-06-19,NA,2
21,2022-06-20,8,2
22,2022-06-21,6,5
23,2022-06-22,6,4
24,2022-06-23,12,3
25,2022-06-24,11,6
26,2022-06-25,4,2
27,2022-06-27,8,2
28,2022-06-28,8,6
29,2022-06-29,10,4
30,2022-06-30,7,3
31,2022-07-01,16,11
32,2022-07-02,9,3
33,2022-07-03,12,3
34,2022-07-04,6,2
35,2022-07-05,28,8
36,2022-07-06,16,30
37,2022-07-07,35,22
38,2022-07-08,33,8
39,2022-07-09,6,2
40,2022-07-11,4,7
41,2022-07-12,2,4
42,2022-07-13,6,6
43,2022-07-14,4,2
44,2022-07-15,9,NA
45,2022-07-17,6,3
46,2022-07-18,8,6
47,2022-07-19,24,12
48,2022-07-20,44,23
49,2022-07-21,20,8
50,2022-07-22,37,16
51,2022-07-23,3,NA
52,2022-07-24,4,NA
53,2022-07-25,19,4
54,2022-07-26,35,10
55,2022-07-27,50,15
56,2022-07-28,76,15
57,2022-07-29,92,15
58,2022-07-30,19,3
59,2022-07-31,15,4
60,2022-08-01,20,7
61,2022-08-02,29,8
62,2022-08-03,19,7
63,2022-08-04,9,8
64,2022-08-05,17,1
65,2022-08-07,4,NA
66,2022-08-08,9,9
67,2022-08-10,4,4
68,2022-08-11,15,4
69,2022-08-12,12,4
70,2022-08-15,3,3
71,2022-08-16,4,4
72,2022-08-17,6,1
73,2022-08-18,7,6
74,2022-08-19,9,6
75,2022-08-20,8,NA
76,2022-08-21,4,2
77,2022-08-22,5,5
78,2022-08-23,7,5
79,2022-08-24,10,4
80,2022-08-25,15,11
81,2022-08-26,13,5
82,2022-08-27,8,4
83,2022-08-29,7,5
84,2022-08-30,12,4
85,2022-08-31,22,6
86,2022-09-01,4,2
87,2022-09-02,4,6
88,2022-09-03,3,NA
89,2022-09-04,5,NA
90,2022-09-05,8,2
91,2022-09-07,2,2
92,2022-09-08,2,8
93,2022-09-09,4,8
94,2022-09-10,6,11
95,2022-09-11,2,NA
96,2022-09-12,5,1
97,2022-09-13,9,5
98,2022-09-14,2,NA
99,2022-09-15,2,3
100,2022-09-16,4,3
101,2022-09-17,12,2
102,2022-09-18,22,14
103,2022-09-19,NA,2
104,2022-09-20,1,2
105,2022-09-21,1,1
106,2022-09-24,7,18
107,2022-09-26,12,22
108,2022-09-27,10,15
109,2022-09-28,4,3
110,2022-09-29,NA,1
